lat,lon
7.216,125.692
7.845,129.9568
9.4399,131.0368
11.9424,133.6672
13.0475,136.9161
13.9306,140.7504
13.5442,142.2177
13.3883,143.92
13.713,144.2333
11.3899,144.0898
14.976,144.0898
16.657,143.875
19.6349,143.5545
13.443,144.7937
